Session	Time	Date	Author	Event	Parameter	Details
1	0	2013-01-22 22:12:58	1	aResource	1219	NA
1	19	2013-01-22 22:13:17	1	vResource	1219	NA
1	71	2013-01-22 22:14:28	1	eResource	1219	NA
1	1	2013-01-22 22:14:29	1	vResource	1219	NA
1	0	2013-01-23 12:15:22	231	vResource	1219	NA
2	0	2013-01-23 15:28:20	1	vCampus	178	NA
2	0	2013-01-24 17:21:42	231	aResource	1220	NA
2	19	2013-01-24 17:22:01	231	vResource	1220	NA
2	20	2013-01-24 17:22:21	231	rResource	1220	NA
2	657	2013-01-24 17:33:18	231	aComposition	205	NA
2	48	2013-01-24 17:34:06	231	pScript	NA	NA
2	0	2013-01-24 17:34:06	231	vResource	1219	NA
2	37	2013-01-24 17:34:43	231	aScript	266	NA
2	29	2013-01-24 17:35:12	231	eScript	266	edit
2	82	2013-01-24 17:36:34	231	eComposition	205	add/1317
2	24	2013-01-24 17:36:58	231	eComposition	205	edit/1317
2	21	2013-01-24 17:37:19	231	eComposition	205	add/1318
2	13	2013-01-24 17:37:32	231	eComposition	205	add/
2	64	2013-01-24 17:38:36	231	eComposition	205	edit/1318
2	70	2013-01-24 17:39:46	231	eComposition	205	add/1319
2	3	2013-01-24 17:39:49	231	eComposition	205	order
2	67	2013-01-24 17:40:56	231	eComposition	205	edit/1319
2	126	2013-01-24 17:43:02	231	eComposition	205	layer_edit/394
2	12	2013-01-24 17:43:14	231	eComposition	205	layer_edit/392
2	127	2013-01-24 17:45:21	231	cAnnotation	NA	NA
2	14	2013-01-24 17:45:35	231	vResource	1220	NA
2	44	2013-01-24 17:46:19	231	aAnnotation	1142	NA
2	116	2013-01-24 17:48:15	231	cAnnotation	1	NA
1	0	2013-01-25 15:48:10	9	vCampus	178	NA
2	0	2013-01-28 03:48:33	9	vCampus	178	NA
2	144	2013-01-28 03:50:57	9	vCampus	178	NA
2	18	2013-01-28 03:51:15	9	vCampus	178	NA
2	14	2013-01-28 03:51:29	9	vCampus	178	NA
3	0	2013-01-31 13:38:49	1	aScript	267	NA
4	0	2013-01-31 15:55:45	1	pScript	267	NA
4	0	2013-01-31 15:55:45	1	vResource	267	NA
4	0	2013-01-31 15:55:45	1	vGroup	85	NA
4	192	2013-01-31 15:58:57	1	pScript	267	NA
4	8	2013-01-31 15:59:05	1	pScript	267	NA
4	190	2013-01-31 16:02:15	1	pScript	267	NA
4	184	2013-01-31 16:05:19	1	pScript	267	NA
4	99	2013-01-31 16:06:58	1	pScript	267	NA
4	58	2013-01-31 16:07:56	1	pScript	267	NA
4	75	2013-01-31 16:09:11	1	pScript	267	NA
4	85	2013-01-31 16:10:36	1	pScript	267	NA
4	10	2013-01-31 16:10:46	1	pScript	267	NA
4	236	2013-01-31 16:14:42	1	pScript	267	NA
4	11	2013-01-31 16:14:53	1	pScript	267	NA
3	0	2013-02-01 10:59:54	9	vCampus	178	NA
3	317	2013-02-01 11:05:11	9	vCampus	178	NA
3	26	2013-02-01 11:05:37	9	vCampus	178	NA
3	14	2013-02-01 11:05:51	9	vCampus	178	NA
3	29	2013-02-01 11:06:20	9	vCampus	178	NA
3	438	2013-02-01 11:13:38	9	vCampus	178	NA
1	0	2013-02-02 14:56:51	113	vCampus	178	NA
1	1229	2013-02-02 15:17:20	113	aDocument	74	NA
1	83	2013-02-02 15:18:43	113	vDocument	74	NA
1	427	2013-02-02 15:25:50	113	rDocument	74	NA
1	24	2013-02-02 15:26:14	113	dDocument	74	NA
1	5	2013-02-02 15:26:19	113	vGroup	131	NA
5	0	2013-02-03 14:11:37	1	pScript	266	NA
5	0	2013-02-03 14:11:37	1	vResource	1219	NA
6	0	2013-02-03 14:49:37	1	vGroup	136	NA
7	0	2013-02-03 15:25:09	1	vResource	1220	NA
7	150	2013-02-03 15:27:39	1	vResource	1220	NA
7	10	2013-02-03 15:27:49	1	vResource	1220	NA
7	7	2013-02-03 15:27:56	1	vResource	1220	NA
7	24	2013-02-03 15:28:20	1	sResource	1220	NA
1	0	2013-02-03 20:02:52	234	pScript	267	NA
1	22	2013-02-03 20:03:14	234	vResource	1220	NA
4	0	2013-02-04 10:08:12	9	vResource	1220	NA
8	0	2013-02-04 10:38:29	1	aResource	1221	NA
8	28	2013-02-04 10:38:57	1	aResource	1222	NA
8	80	2013-02-04 10:40:17	1	vResource	1222	NA
3	0	2013-02-04 10:41:27	231	vResource	1222	NA
3	16	2013-02-04 10:41:43	231	vResource	1219	NA
3	139	2013-02-04 10:44:02	231	vComposition	205	NA
