created	author	rate	target	mean	votes	owner
2014-03-04 12:03:20	265	4	R1476	4	5	265
2014-03-04 21:48:45	263	3	R1474	3.25	4	1
2014-03-06 16:21:24	1	4	D134	4	1	271
2014-03-08 13:48:59	1	5	R1482	4.16667	6	262
2014-03-09 15:19:48	1	4	R1485	4	5	264
2014-03-09 15:22:43	264	4	R1470	3.5	2	1
2014-03-09 15:25:15	264	2	R1474	3.25	4	1
2014-03-09 23:14:18	263	4	R1483	4	5	264
2014-03-09 23:20:20	263	5	R1484	4.4	5	264
2014-03-10 23:37:23	271	4	R1484	4.4	5	264
2014-03-10 23:43:45	271	3	R1486	3.75	4	265
2014-03-13 18:00:58	269	4	R1484	4.4	5	264
2014-03-13 18:02:13	1	5	R1490	4.66667	3	269
2014-03-13 19:24:03	267	3	R1495	3.57143	7	271
2014-03-13 19:25:18	271	3	R1475	3	6	262
2014-03-13 19:30:05	267	2	R1475	3	6	262
2014-03-13 19:40:13	267	5	R1498	4.5	4	263
2014-03-13 20:06:05	1	5	R1499	4.33333	6	263
2014-03-13 20:44:04	263	2	R1495	3.57143	7	271
2014-03-13 20:45:33	263	4	R1494	3.5	6	271
2014-03-13 20:48:35	263	4	R1485	4	5	264
2014-03-13 20:56:48	264	4	R1495	3.57143	7	271
2014-03-13 21:20:26	264	4	R1493	2.66667	3	271
2014-03-13 23:15:47	267	4	R1499	4.33333	6	263
2014-03-13 23:46:55	265	4	R1492	3.66667	3	271
2014-03-13 23:49:28	265	5	R1491	4	3	271
2014-03-13 23:53:31	265	3	R1495	3.57143	7	271
2014-03-13 23:57:12	265	4	R1497	3.25	4	263
2014-03-14 00:09:52	265	3	R1483	4	5	264
2014-03-14 00:11:50	265	3	R1494	3.5	6	271
2014-03-14 00:13:55	265	3	R1502	4	4	264
2014-03-14 00:33:47	265	4	R1504	3.5	4	265
2014-03-14 00:34:03	265	4	R1503	4.16667	6	265
2014-03-14 00:41:17	265	3	R1505	3.75	4	265
2014-03-14 00:45:48	265	4	R1482	4.16667	6	262
2014-03-14 00:49:30	265	4	R1506	4.33333	6	265
2014-03-14 09:24:29	265	4	R1507	3.66667	6	270
2014-03-14 11:45:01	1	4	R1506	4.33333	6	265
2014-03-14 15:26:04	1	4	R1486	3.75	4	265
2014-03-14 15:42:58	269	5	R1514	4.75	8	268
2014-03-14 16:58:15	262	5	R1514	4.75	8	268
2014-03-14 17:11:05	262	5	R1507	3.66667	6	270
2014-03-14 17:14:06	262	5	R1511	4.625	8	268
2014-03-14 17:15:28	269	5	R1517	3.8	5	270
2014-03-14 17:28:51	262	4	R1495	3.57143	7	271
2014-03-14 18:26:29	265	4	R1520	3.9	10	262
2014-03-14 18:29:19	264	4	R1520	3.9	10	262
2014-03-14 18:30:16	264	3	R1517	3.8	5	270
2014-03-14 18:37:19	264	4	R1519	3.5	6	269
2014-03-14 18:39:33	263	3	R1520	3.9	10	262
2014-03-14 18:39:57	263	4	R1519	3.5	6	269
2014-03-14 18:41:46	264	5	R1512	4.33333	6	268
2014-03-14 18:41:46	263	3	R1518	3.5	6	262
2014-03-14 18:41:58	263	5	R1514	4.75	8	268
2014-03-14 18:42:19	263	5	R1511	4.625	8	268
2014-03-14 18:42:22	264	4	R1514	4.75	8	268
2014-03-14 18:46:30	264	5	R1509	4	4	270
2014-03-14 18:52:49	264	4	R1506	4.33333	6	265
2014-03-14 18:58:25	264	4	R1503	4.16667	6	265
2014-03-14 19:00:21	264	4	R1477	4	4	263
2014-03-14 19:01:08	264	5	R1502	4	4	264
2014-03-14 19:02:05	264	5	R1484	4.4	5	264
2014-03-14 19:10:39	264	4	R1511	4.625	8	268
2014-03-14 19:47:54	264	5	R1521	3.14286	7	264
