created	author	rate	target	mean	votes	owner
2013-01-24 17:22:21	231	3	R1220	3	1	231
2013-02-06 12:26:16	238	5	R1222	5	2	1
2013-02-06 12:48:38	238	4	R1221	4	1	1
2013-02-06 18:00:24	238	3	C215	3	1	238
2013-02-06 20:38:47	233	1	R1226	2.5	2	238
2013-02-06 20:46:49	232	5	R1222	5	2	1
2013-02-06 20:59:32	232	4	R1230	4	1	231
2013-02-06 21:07:35	232	4	R1226	2.5	2	238
2013-02-07 01:53:38	235	5	R1232	4.33333	3	235
2013-02-07 02:25:46	235	5	R1235	3.66667	3	235
2013-02-07 02:36:55	235	5	R1234	4.5	2	241
2013-02-07 13:43:39	234	3	R1232	4.33333	3	235
2013-02-07 13:46:54	234	4	R1234	4.5	2	241
2013-02-07 19:01:19	234	5	R1231	5	2	241
2013-02-07 21:16:58	235	5	C222	5	1	235
2013-02-07 21:25:28	235	4	R1236	4	2	234
2013-02-08 00:13:20	233	2	R1243	3.33333	3	238
2013-02-08 00:18:53	233	4	R1242	4.33333	3	238
2013-02-08 00:30:05	233	5	R1245	3	2	233
2013-02-08 00:36:53	236	4	D78	4	1	234
2013-02-08 00:46:20	233	5	R1246	5	3	233
2013-02-08 00:56:14	233	3	R1244	2.33333	3	232
2013-02-08 02:51:29	241	5	R1235	3.66667	3	235
2013-02-08 10:22:35	236	5	D75	4.33333	3	231
2013-02-08 10:28:45	236	5	D81	4.5	4	235
2013-02-08 16:18:13	235	5	D80	5	3	236
2013-02-08 16:30:59	235	5	D82	4.33333	3	241
2013-02-08 16:47:53	235	4	R1247	2.75	4	241
2013-02-08 18:39:02	234	4	R1247	2.75	4	241
2013-02-08 18:50:26	234	1	R1244	2.33333	3	232
2013-02-08 18:53:56	234	4	R1239	3.75	4	232
2013-02-09 20:00:46	234	1	R1245	3	2	233
2013-02-09 20:22:26	233	2	R1247	2.75	4	241
2013-02-09 20:29:06	233	2	R1239	3.75	4	232
2013-02-09 20:40:44	233	1	R1235	3.66667	3	235
2013-02-09 21:50:44	232	5	R1243	3.33333	3	238
2013-02-09 21:55:13	232	4	R1242	4.33333	3	238
2013-02-09 22:10:07	232	5	R1219	3.75	4	1
2013-02-09 22:13:50	232	4	D88	4	5	238
2013-02-09 22:18:46	238	4	D89	3.75	4	232
2013-02-10 02:55:11	233	3	R1219	3.75	4	1
2013-02-10 23:48:50	241	4	D83	4	1	1
2013-02-11 14:11:48	234	4	D75	4.33333	3	231
2013-02-11 15:47:39	234	5	D80	5	3	236
2013-02-11 15:52:57	234	5	D76	5	1	235
2013-02-11 15:57:41	234	5	D88	4	5	238
2013-02-11 16:00:07	234	5	D90	4.5	2	233
2013-02-11 16:03:37	234	4	D89	3.75	4	232
2013-02-11 16:15:29	234	3	R1219	3.75	4	1
2013-02-11 22:55:48	235	4	R1248	3.66667	3	241
2013-02-11 23:29:14	241	5	D91	3.33333	3	234
2013-02-12 01:05:27	235	5	R1249	4.66667	3	235
2013-02-12 09:48:14	232	5	D80	5	3	236
2013-02-12 17:17:21	240	4	D90	4.5	2	233
2013-02-12 17:21:09	240	4	D75	4.33333	3	231
2013-02-12 17:26:51	240	3	D91	3.33333	3	234
2013-02-12 17:28:38	240	4	D82	4.33333	3	241
2013-02-12 17:39:11	240	4	D89	3.75	4	232
2013-02-12 17:40:34	240	3	D88	4	5	238
2013-02-12 18:19:12	240	1	R1247	2.75	4	241
2013-02-12 18:34:05	240	5	R1256	4	3	240
2013-02-13 04:43:35	241	5	D92	4.5	4	240
2013-02-13 04:56:34	241	5	D81	4.5	4	235
2013-02-13 08:44:43	233	4	D92	4.5	4	240
2013-02-13 08:51:59	233	2	D91	3.33333	3	234
2013-02-13 09:19:20	233	3	D88	4	5	238
2013-02-13 21:13:32	234	5	D92	4.5	4	240
2013-02-13 21:25:38	234	4	D82	4.33333	3	241
2013-02-13 21:29:23	234	4	D81	4.5	4	235
2013-02-13 21:39:44	234	3	R1256	4	3	240
2013-02-13 21:57:29	234	2	R1252	3	2	232
2013-02-13 22:14:59	234	4	R1249	4.66667	3	235
2013-02-13 22:19:25	234	5	R1248	3.66667	3	241
2013-02-14 02:34:56	235	5	R1258	2.66667	3	235
2013-02-14 02:37:21	235	5	R1257	5	1	235
2013-02-14 02:43:52	235	5	R1260	4.8	5	235
2013-02-14 02:45:34	235	5	R1259	4.5	2	235
2013-02-14 04:23:56	235	5	R1231	5	2	241
2013-02-14 08:28:06	233	4	D81	4.5	4	235
2013-02-14 08:28:58	233	3	D89	3.75	4	232
2013-02-14 11:28:55	233	1	R1262	1	1	234
2013-02-14 11:29:29	233	2	R1248	3.66667	3	241
2013-02-14 23:47:02	235	3	R1266	3.4	5	234
2013-02-14 23:52:37	235	3	R1264	3	1	234
2013-02-15 00:03:25	235	3	R1261	3	1	234
2013-02-15 00:09:16	235	4	R1263	4.5	2	234
2013-02-21 00:45:45	236	5	R1224	5	1	236
2013-02-21 00:46:47	236	5	R1225	5	1	236
2013-02-21 01:04:18	236	5	R1268	4	2	236
2013-02-21 01:07:33	236	5	R1269	3.33333	3	236
2013-02-21 01:11:29	236	5	R1260	4.8	5	235
2013-02-21 01:12:20	236	5	R1263	4.5	2	234
2013-02-21 03:44:02	235	3	R1269	3.33333	3	236
2013-02-21 03:50:12	235	2	R1267	2.5	2	238
2013-02-21 04:00:28	235	2	R1240	2	1	238
2013-02-22 05:00:14	235	3	R1265	3	2	234
2013-02-22 05:26:50	235	3	R1244	2.33333	3	232
2013-02-22 05:31:48	235	3	R1243	3.33333	3	238
2013-02-22 05:39:09	235	4	R1233	4	1	241
2013-02-22 05:41:03	235	4	R1223	4	1	233
2013-02-24 11:47:05	236	5	R1274	4	3	236
2013-02-24 11:49:11	236	5	R1273	5	1	236
2013-02-24 11:51:13	235	3	R1274	4	3	236
2013-02-24 11:54:08	234	2	R1271	2	1	241
2013-02-24 11:55:19	241	4	R1266	3.4	5	234
2013-02-24 12:08:02	236	5	R1266	3.4	5	234
2013-02-24 12:12:28	236	5	R1239	3.75	4	232
2013-02-24 12:15:45	236	5	R1232	4.33333	3	235
2013-02-24 12:17:45	241	4	R1259	4.5	2	235
2013-02-24 12:23:08	236	5	R1249	4.66667	3	235
2013-02-24 12:28:00	236	5	C235	4.5	2	231
2013-02-24 12:37:20	236	5	C227	5	1	235
2013-02-24 12:55:19	241	4	R1274	4	3	236
2013-02-24 13:46:48	236	5	C236	5	1	236
2013-02-24 15:59:47	236	5	D93	5	2	236
2013-02-24 16:15:24	236	4	D92	4.5	4	240
2013-02-24 22:34:02	241	3	R1265	3	2	234
2013-02-24 22:39:27	241	5	R1260	4.8	5	235
2013-02-24 22:53:10	236	5	D88	4	5	238
2013-02-24 22:57:42	241	4	R1252	3	2	232
