created	author	ranking	votes	viewers	annotations	ntags	scripts	sd	tags
2013-03-20 13:21:06	240	4	1	7	1	3	1	0	aprendizaje colaborativo:monitorización:awareness
2013-03-20 16:18:37	240	5	1	4	1	1	0	0	tag
2013-03-20 16:23:57	240	0	0	1	0	1	0	0	tag
2013-03-20 16:25:22	240	0	0	4	0	1	0	0	técnicas colaborativas
2013-03-20 18:50:35	240	5	1	11	1	1	2	0	interfaces
2013-04-03 11:36:38	1	0	0	1	0	1	1	0	awareness
2013-04-03 11:39:46	1	0	0	1	0	2	1	0	tabletop:manipulación de objetos
2013-04-03 11:43:23	1	0	0	7	0	2	1	0	awareness:workspace awareness
2013-04-03 12:15:48	1	0	0	1	0	1	0	0	técnica colaborativa
2013-04-03 12:19:53	1	4	1	1	1	2	0	0	técnica colaborativa:técnica
2013-04-03 12:23:47	1	3	1	1	1	1	0	0	técnica colaborativa
2013-04-03 12:34:23	1	0	0	2	0	1	0	0	técnica colaborativa
2013-04-11 12:19:54	1	4	2	7	1	4	0	1.4142135623731	groupware:web:wysiwis:difusión de información
2013-04-18 10:08:11	233	4	1	2	1	4	1	0	tag:herramientas colaborativas:colaboracion web:web 2.0
2013-04-20 02:23:58	235	3.5	2	6	1	4	1	0.70710678118655	tag:tag:gestión colaborativo:gestiÓn colaborativa
2013-04-20 02:57:11	235	3.5	2	11	2	2	1	0.70710678118655	herramienta:sironta
2013-04-20 03:08:17	235	4	2	3	1	4	2	0	tag:tag:assembla:cscw
2013-04-20 03:14:06	235	4	1	5	1	3	1	0	tag:tag:zimbra
2013-04-20 03:19:14	235	3	3	8	3	5	2	1	tag:tag:bussines:business:tiempo real
2013-04-20 03:21:05	235	2.5	2	9	2	3	2	2.1213203435596	tag:tag:apps
2013-04-20 03:29:13	235	4.5	2	6	2	5	1	0.70710678118655	tag:tag:tag:google apps educación:informativo
2013-04-20 06:07:37	235	3	2	7	2	3	1	2.8284271247462	tag:tag:informativo
2013-04-24 01:27:31	234	3	2	14	2	1	1	1.4142135623731	tag
2013-04-24 02:17:31	234	3	1	7	1	1	1	0	tag
2013-04-24 02:26:04	234	4	1	8	1	1	1	0	tag
2013-04-24 16:34:43	232	0	0	3	1	1	1	0	tag
2013-04-24 16:43:07	232	3	1	8	2	2	1	0	tag:informativo
2013-04-24 16:44:01	232	3	2	16	3	3	1	1.4142135623731	tag:servicios microsoft:informativo
2013-04-24 16:44:31	232	3	2	9	2	3	1	1.4142135623731	tag:google apps:comunicación
2013-04-24 16:45:15	232	4	2	5	2	2	1	0	tag:difusión de información
2013-04-25 12:23:28	232	4.33333	3	6	3	3	1	0.57735026918963	tag:nube:informativo
2013-04-28 10:20:24	238	3	2	3	2	3	1	0	tag:tutorial:mashup_mapas
2013-04-28 10:22:02	238	3	1	2	1	2	1	0	tag:tutorial
2013-04-28 10:23:18	238	4	1	8	2	3	2	0	tag:herramienta:aplicaciones web
2013-04-28 10:25:22	238	4	1	11	2	4	2	0	tag:herramientas colaborativas:arquitectura:aplicaciones web
2013-04-28 10:26:12	238	3.33333	3	10	4	5	2	1.1547005383793	tag:herramientas colaborativas:mashups:informativo:aplicaciones web
2013-04-28 10:31:10	238	3	2	10	2	4	1	0	tag:tutorial:api:aplicaciones web
2013-04-28 10:32:34	238	3.33333	3	13	4	4	1	1.5275252316519	tag:aplicaciones facebook:tutorial:aplicaciones web
2013-04-28 17:22:16	241	3	2	7	2	5	0	1.4142135623731	tag:tag:privilegio de usuario:webdev:herramienta
2013-04-28 17:38:57	241	3	2	13	3	5	1	1.4142135623731	seminario:excelente seminario:workshop:webinar:herramienta
2013-04-28 17:59:44	241	2	2	11	3	4	1	0	<span class= inlineedit-placeholder >click to:Interactuar:evolución web:informativo
2013-04-28 22:49:04	241	2	2	8	2	3	0	0	<span class= inlineedit-placeholder >click to:inteligencia colectiva:informativo
2013-04-28 22:52:47	241	2.5	2	4	3	5	1	0.70710678118655	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:Interface:información compartida:informativo
2013-04-28 23:25:05	241	3.25	4	10	5	3	0	0.95742710775634	Método Interactivo:herramienta:conceptualizaciones
2013-04-28 23:41:08	241	2.66667	3	9	4	3	1	0.57735026918963	Aplicaciones Integradas:trabajo colaborativo:soporte
2013-05-01 17:12:13	233	2.25	4	11	4	3	0	0.5	<span class= inlineedit-placeholder >click to:trabajo colaborativo:herramienta
2013-05-03 03:00:15	241	4	4	10	4	3	1	0.81649658092773	Estimación:inteligencia colectiva:caso practico
2013-05-04 17:34:40	241	0	0	2	1	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-04 17:50:30	241	4	2	5	3	4	0	1.4142135623731	<span class= inlineedit-placeholder >click to:usabilidad:informativo:novedades
