created	author	ranking	votes	viewers	annotations	ntags	scripts	sd	tags
2011-10-04 08:42:13	31	3.5	2	35	2	6	1	0.70710678118655	ieee:ieee seccion espana:emadrid:ieee:ieee seccion espana:emadrid
2011-10-05 13:06:31	1	3.33333	3	34	1	3	2	1.1547005383793	aprendizaje:presentacion:cscl
2011-10-05 22:05:12	31	4	1	22	1	3	1	0	redmine:new project:sistema colaborativo
2011-10-12 16:39:41	30	4	2	13	1	6	1	0	vigotsky:piaget:ausubel:novak:aprendizaje:presentacion
2011-10-12 18:01:18	30	4.33333	3	26	1	5	2	0.57735026918963	medios:reilly:web 2.0:explicacion:publicidad contextual
2011-10-12 18:10:13	30	3.5	2	22	0	3	2	0.70710678118655	tim o reilly:entrevista:web 2.0
2011-10-12 20:38:40	31	4	4	26	2	3	1	2	test:awareness:visual
2011-10-13 14:16:41	33	3.5	2	13	1	12	0	0.70710678118655	collaborative:discussion:decision:support:system:e-participation:social:networking:dlsu:thesis:e-governance:webapp
2011-10-14 18:20:06	31	4.6	5	17	3	3	2	0.54772255750517	statistics:2011:social media
2011-10-14 19:00:18	31	4	3	11	3	6	2	0	social media:cloud computing:explained visually:content:contenido:red social
2011-10-15 12:44:03	33	4.5	2	35	2	6	3	0.70710678118655	semantic:web:rdfa:microformats:manu:sporny
2011-10-15 12:52:51	33	5	3	18	3	52	3	0	web:semantica:internet:1.0:2.0:3.0:4.0:5.0:futuro:proximo:google:busquedas:metaweb:presentacion:documental:español:subtitulado:conferencia:entrevista:ray:kurzweil:raymond:netsukuku:informatica:motores:busqueda:manejo:información:yahoo:bing:ecosia:semantic:video:informe:resumen:explicacion:ciencia:tecnologia:lenguaje:idiomas:geek:geeks:computación:significado:conceptos:entidades:entidad:significados:sintaxis:sentido:semantico:search
2011-10-15 13:04:25	33	4.33333	3	29	5	6	4	1.1547005383793	evolucion:web:web semantica:web 2.0:web 3.0:web 1.0
2011-10-15 13:27:41	33	3	4	14	3	10	1	0.81649658092773	generaciones:interactivas:ninos:adolescentes:educación:internet:twitter:commoncraft:definicion:publicidad
2011-10-16 23:37:15	34	4.2	5	22	1	6	2	0.83666002653408	crowdsourcing:crowdsource:wikipedia:web 2.0:social media:tercerizacion masiva
2011-10-16 23:47:32	34	4.5	4	20	2	5	1	0.57735026918963	social media:Redes sociales:beneficios red social:comunidades virtuales:ventajas social media
2011-10-16 23:55:20	34	3	2	14	1	11	1	1.4142135623731	web:2.0:kb:knowledge:base:customer:care:wiki:community:content:web 2.0
