Session	Time	Date	Author	Event	Parameter	Details
3	4	2014-02-25 16:31:24	265	eComposition	263	visible/2110
3	2	2014-02-25 16:31:26	265	eComposition	263	visible/2110
2	663	2014-02-25 16:31:36	268	awareness	NA	NA
3	42	2014-02-25 16:32:08	265	eComposition	263	edit/2110
11	78	2014-02-25 16:32:13	1	eComposition	261	layer_edit/813
2	83	2014-02-25 16:32:26	264	eComposition	264	layer_edit/828
2	2	2014-02-25 16:32:28	264	eComposition	264	layer_edit/828
2	6	2014-02-25 16:32:34	264	eComposition	264	layer_edit/828
3	36	2014-02-25 16:32:44	265	eComposition	263	layer_edit/823
11	72	2014-02-25 16:33:25	1	eComposition	261	edit/2107
3	44	2014-02-25 16:33:28	265	eComposition	263	edit/2110
2	152	2014-02-25 16:33:29	262	eComposition	262	edit/2108
2	57	2014-02-25 16:33:31	264	eComposition	264	edit/2109
1	835	2014-02-25 16:35:30	267	aComposition	265	NA
11	138	2014-02-25 16:35:43	1	eComposition	261	properties
3	139	2014-02-25 16:35:47	265	eComposition	263	properties
3	6	2014-02-25 16:35:53	265	eComposition	263	properties
1	60	2014-02-25 16:36:30	267	eComposition	265	properties
1	2	2014-02-25 16:36:32	267	eComposition	265	properties
11	65	2014-02-25 16:36:48	1	eComposition	261	add/2111
2	219	2014-02-25 16:37:08	262	eComposition	262	add/2112
3	75	2014-02-25 16:37:08	265	eComposition	263	add/2113
1	50	2014-02-25 16:37:22	267	vComposition	265	NA
2	237	2014-02-25 16:37:28	264	eComposition	264	add/2114
1	13	2014-02-25 16:37:35	267	vComposition	265	NA
2	47	2014-02-25 16:37:55	262	eComposition	262	edit/2112
2	2	2014-02-25 16:37:57	262	eComposition	262	edit/2112
11	73	2014-02-25 16:38:01	1	eComposition	261	edit/2111
3	57	2014-02-25 16:38:05	265	eComposition	263	edit/2113
3	2	2014-02-25 16:38:07	265	eComposition	263	edit/2113
3	0	2014-02-25 16:38:07	265	eComposition	263	edit/2113
1	33	2014-02-25 16:38:08	267	eComposition	265	properties
3	1	2014-02-25 16:38:08	265	eComposition	263	edit/2113
2	13	2014-02-25 16:38:10	262	eComposition	262	edit/2112
2	2	2014-02-25 16:38:12	262	eComposition	262	edit/2112
2	2	2014-02-25 16:38:14	262	eComposition	262	edit/2112
2	0	2014-02-25 16:38:14	262	eComposition	262	edit/2112
2	1	2014-02-25 16:38:15	262	eComposition	262	edit/2112
2	6	2014-02-25 16:38:21	262	eComposition	262	edit/2112
2	1	2014-02-25 16:38:22	262	eComposition	262	edit/2112
2	0	2014-02-25 16:38:22	262	eComposition	262	edit/2112
2	79	2014-02-25 16:38:47	264	eComposition	264	edit/2114
2	1	2014-02-25 16:38:48	264	eComposition	264	edit/2114
11	49	2014-02-25 16:38:50	1	eComposition	261	add/2115
1	43	2014-02-25 16:38:51	267	eComposition	265	add/2116
2	4	2014-02-25 16:38:52	264	eComposition	264	edit/2114
2	1	2014-02-25 16:38:53	264	eComposition	264	edit/2114
1	3	2014-02-25 16:38:54	267	eComposition	265	visible/2116
11	4	2014-02-25 16:38:54	1	eComposition	261	delete/2115
2	37	2014-02-25 16:38:59	262	eComposition	262	edit/2112
2	3	2014-02-25 16:39:02	262	eComposition	262	edit/2112
1	11	2014-02-25 16:39:05	267	eComposition	265	visible/2116
2	16	2014-02-25 16:39:09	264	eComposition	264	edit/2114
2	1	2014-02-25 16:39:10	264	eComposition	264	edit/2114
2	0	2014-02-25 16:39:10	264	eComposition	264	edit/2114
2	0	2014-02-25 16:39:10	264	eComposition	264	edit/2114
2	3	2014-02-25 16:39:13	264	eComposition	264	edit/2114
2	18	2014-02-25 16:39:20	262	eComposition	262	edit/2112
2	1	2014-02-25 16:39:21	262	eComposition	262	edit/2112
2	0	2014-02-25 16:39:21	262	eComposition	262	edit/2112
2	0	2014-02-25 16:39:21	262	eComposition	262	edit/2112
1	37	2014-02-25 16:39:42	267	eComposition	265	edit/2116
2	40	2014-02-25 16:40:01	262	aScript	324	NA
11	68	2014-02-25 16:40:02	1	aScript	325	NA
